Year of Elections,State,Constituency Name,Total Voters,Total Male Voters,Total Female Voters,Male Votes Polled,Female Votes Polled,Postal Votes Polled,Male Voter Turnout Ratio %,Female Voter Turnout Ratio %,Postal Voter Turnout Ratio %,Overall Voter Turnout Ratio %
2014,Andhra Pradesh,Guntur,1572016,771436,798167,613894,623668,9196,79.58,78.14,0.58,79.31
2014,Andhra Pradesh,Tirupati ,1574161,778167,795303,602087,605328,6945,77.37,76.11,0.44,77.14
2014,Jammu & Kashmir,Srinagar,1207230,631303,575644,178779,133429,37,28.32,23.18,0.00,25.86
2014,Karnataka,Shimoga,1562243,778037,783169,572307,556790,1257,73.56,71.09,0.08,72.36
2014,Karnataka,Mysore,1723134,866391,854665,596311,561022,2282,68.83,65.64,0.13,67.3
2014,Kerala,Wayanad,1249123,613311,634015,454055,460171,912,74.03,72.58,0.07,73.26
2014,Madhya Pradesh,Indore,2115302,1105608,1008411,736204,579670,1120,66.59,57.48,0.05,62.26
2014,Maharashtra,Nagpur ,1900784,979580,919781,578754,504850,2161,59.08,54.89,0.11,57.12
2014,Punjab,Amritsar,1477260,775140,696802,537622,469488,176,69.36,67.38,0.01,68.19
2014,Tamil Nadu,Nilgiris ,1269173,628007,638968,472256,458764,2469,75.2,71.8,0.19,73.55
2024,Andhra Pradesh,Guntur,1793324,867085,926080,686759,726457,24250,79.2,78.44,1.35,80.16
2024,Andhra Pradesh,Tirupati,1730318,843597,886573,673487,694837,19104,79.84,78.37,1.10,80.19
2024,Karnataka,Shimoga,1753615,863490,890090,680925,692402,5239,78.86,77.79,0.30,78.61
2024,Karnataka,Mysore,2094310,1028309,1065817,732605,744902,8645,71.24,69.89,0.41,70.96
2024,Kerala,Wayanad,1464472,723037,741420,520776,554927,10753,72.03,74.85,0.73,74.19
2024,Madhya Pradesh,Indore,2527978,1276189,1251692,834453,723791,4416,65.39,57.83,0.17,61.82
2024,Maharashtra,Nagpur,2224282,1114033,1110026,628957,578784,4316,56.46,52.14,0.19,54.49
2024,Punjab,Amritsar,1617542,851513,765966,487193,416114,2499,57.21,54.33,0.15,56
2024,Tamil Nadu,Nilgiris,1428889,688031,740765,497270,516309,6469,72.27,69.7,0.45,71.39
2024,Jammu & Kashmir,Srinagar,1748803,876909,871830,383261,289657,3466,43.71,33.22,0.20,38.68
2019,Andhra Pradesh,Guntur,1706119,830093,875813,659306,686873,5317,79.43,78.43,0.31,79.22
2019,Andhra Pradesh,Tirupati,1650453,810577,839621,643590,660641,12211,79.4,78.68,0.74,79.76
2019,Jammu & Kashmir,Srinagar,1294671,667593,627052,106916,79450,497,16.02,12.67,0.04,14.43
2019,Karnataka,Shimoga,1676668,831873,844745,641691,640582,1788,77.14,75.83,0.11,76.58
2019,Karnataka,Mysore,1896333,946457,949726,664932,647532,5625,70.25,68.18,0.30,69.51
2019,Kerala,Wayanad,1359679,674807,684871,529074,560841,2844,78.4,81.89,0.21,80.37
2019,Madhya Pradesh,Indore,2350580,1208418,1141982,876605,750081,2859,72.54,65.68,0.12,69.33
2019,Maharashtra,Nagpur ,2161096,1097087,1063932,620371,561330,5500,56.55,52.76,0.25,54.94
2019,Punjab,Amritsar,1507875,801639,706178,466526,390128,3924,58.2,55.24,0.26,57.07
2019,Tamil Nadu,Nilgiris ,1366060,665772,700219,499957,507807,3275,75.09,72.52,0.24,74.01
